variable1,variable2,label1,label2,spearman_r
WaterMites_density_per_L,Polyphemidae_density_per_L,WaterMites,Polyphemidae,0.3560468711571381
Diaphanosoma_density_per_L,Daphnia_density_per_L,Diaphanosoma,Daphnia,0.3488787029812752
Calanoids_density_per_L,Diaphanosoma_density_per_L,Calanoids,Diaphanosoma,0.3437387638411088
Rotifers..other._density_per_L,Nauplii_density_per_L,Rotifers other,Nauplii,0.34276786129169295
Polyphemidae_density_per_L,Brachionus.Keratella_density_per_L,Polyphemidae,Brachionus Keratella,0.3387552408077289
Asplanchna_density_per_L,Rotifers..other._density_per_L,Asplanchna,Rotifers other,0.31192584130971585
Diaphanosoma_density_per_L,Holopedium_density_per_L,Diaphanosoma,Holopedium,0.30810094127851334
WaterMites_density_per_L,Chaoborus_density_per_L,WaterMites,Chaoborus,0.28480558506235515
Daphnia_density_per_L,ConochilusColonies_density_per_L,Daphnia,ConochilusColonies,0.28431121995645325
WaterMites_density_per_L,ConochilusColonies_density_per_L,WaterMites,ConochilusColonies,0.26902984195268875
Cyclopoids_density_per_L,Nauplii_density_per_L,Cyclopoids,Nauplii,0.2680161943319838
Calanoids_density_per_L,Daphnia_density_per_L,Calanoids,Daphnia,0.2602663696256942
Asplanchna_density_per_L,ConochilusColonies_density_per_L,Asplanchna,ConochilusColonies,0.25688778951951285
Diaphanosoma_density_per_L,Brachionus.Keratella_density_per_L,Diaphanosoma,Brachionus Keratella,-0.25602652177068
Chaoborus_density_per_L,Asplanchna_density_per_L,Chaoborus,Asplanchna,0.252401734554752
Diaphanosoma_density_per_L,ConochilusColonies_density_per_L,Diaphanosoma,ConochilusColonies,0.24749059403953871
Holopedium_density_per_L,Daphnia_density_per_L,Holopedium,Daphnia,0.23679678662408837
Holopedium_density_per_L,ConochilusColonies_density_per_L,Holopedium,ConochilusColonies,0.23482894495999912
Chaoborus_density_per_L,ConochilusColonies_density_per_L,Chaoborus,ConochilusColonies,0.23411141514990264
Cyclopoids_density_per_L,Rotifers..other._density_per_L,Cyclopoids,Rotifers other,0.22589316824215494
Calanoids_density_per_L,Holopedium_density_per_L,Calanoids,Holopedium,0.22453022205682754
Chaoborus_density_per_L,Daphnia_density_per_L,Chaoborus,Daphnia,0.2224048117031433
Chydorus_density_per_L,Brachionus.Keratella_density_per_L,Chydorus,Brachionus Keratella,-0.21956104531291795
Brachionus.Keratella_density_per_L,Bosmina_density_per_L,Brachionus Keratella,Bosmina,0.21638537957220053
Calanoids_density_per_L,Chaoborus_density_per_L,Calanoids,Chaoborus,0.20801752027338677
Asplanchna_density_per_L,Brachionus.Keratella_density_per_L,Asplanchna,Brachionus Keratella,0.20182755095113183
Calanoids_density_per_L,Chydorus_density_per_L,Calanoids,Chydorus,-0.18957145045124574
Cyclopoids_density_per_L,Brachionus.Keratella_density_per_L,Cyclopoids,Brachionus Keratella,0.16916805384370823
Cyclopoids_density_per_L,ConochilusColonies_density_per_L,Cyclopoids,ConochilusColonies,0.1645604868238974
Asplanchna_density_per_L,Daphnia_density_per_L,Asplanchna,Daphnia,0.16374239006888852
Bosmina_density_per_L,ConochilusColonies_density_per_L,Bosmina,ConochilusColonies,-0.15965942839222513
Diaphanosoma_density_per_L,Rotifers..other._density_per_L,Diaphanosoma,Rotifers other,-0.1533653102670481
Chaoborus_density_per_L,Brachionus.Keratella_density_per_L,Chaoborus,Brachionus Keratella,-0.14929023661343382
Cyclopoids_density_per_L,Asplanchna_density_per_L,Cyclopoids,Asplanchna,0.14762631739745138
Diaphanosoma_density_per_L,Asplanchna_density_per_L,Diaphanosoma,Asplanchna,0.14696672832701155
Calanoids_density_per_L,Asplanchna_density_per_L,Calanoids,Asplanchna,-0.14445724224401857
Polyphemidae_density_per_L,Calanoids_density_per_L,Polyphemidae,Calanoids,-0.1434262027841043
Polyphemidae_density_per_L,Bosmina_density_per_L,Polyphemidae,Bosmina,0.1362075934406828
Bosmina_density_per_L,Holopedium_density_per_L,Bosmina,Holopedium,-0.1311475897997568
WaterMites_density_per_L,Nauplii_density_per_L,WaterMites,Nauplii,0.13078709094514923
Diaphanosoma_density_per_L,Cyclopoids_density_per_L,Diaphanosoma,Cyclopoids,-0.12695785547105998
Polyphemidae_density_per_L,Asplanchna_density_per_L,Polyphemidae,Asplanchna,0.12490062721306992
Chydorus_density_per_L,Daphnia_density_per_L,Chydorus,Daphnia,-0.11866860608425032
Polyphemidae_density_per_L,Chaoborus_density_per_L,Polyphemidae,Chaoborus,-0.11348508340191592
Cyclopoids_density_per_L,Daphnia_density_per_L,Cyclopoids,Daphnia,0.11200001435667638
Rotifers..other._density_per_L,Bosmina_density_per_L,Rotifers other,Bosmina,0.10911536261923116
WaterMites_density_per_L,Asplanchna_density_per_L,WaterMites,Asplanchna,-0.10801187154968683
Chydorus_density_per_L,Asplanchna_density_per_L,Chydorus,Asplanchna,-0.10801187154968683
Chydorus_density_per_L,Rotifers..other._density_per_L,Chydorus,Rotifers other,-0.10190467406037551
Chaoborus_density_per_L,Bosmina_density_per_L,Chaoborus,Bosmina,-0.09992262379413432
Rotifers..other._density_per_L,Holopedium_density_per_L,Rotifers other,Holopedium,-0.0994334192457873
Polyphemidae_density_per_L,Nauplii_density_per_L,Polyphemidae,Nauplii,0.09849776137655632
Brachionus.Keratella_density_per_L,Holopedium_density_per_L,Brachionus Keratella,Holopedium,0.09781189539598857
Chydorus_density_per_L,Cyclopoids_density_per_L,Chydorus,Cyclopoids,-0.09636943543326786
Chydorus_density_per_L,ConochilusColonies_density_per_L,Chydorus,ConochilusColonies,0.09310246215890801
Chaoborus_density_per_L,Chydorus_density_per_L,Chaoborus,Chydorus,-0.08885934253945482
Brachionus.Keratella_density_per_L,ConochilusColonies_density_per_L,Brachionus Keratella,ConochilusColonies,0.08760479143259256
Brachionus.Keratella_density_per_L,Daphnia_density_per_L,Brachionus Keratella,Daphnia,-0.08656488493714351
Calanoids_density_per_L,Bosmina_density_per_L,Calanoids,Bosmina,0.0801644170946688
Polyphemidae_density_per_L,Diaphanosoma_density_per_L,Polyphemidae,Diaphanosoma,-0.07803464505823139
WaterMites_density_per_L,Cyclopoids_density_per_L,WaterMites,Cyclopoids,-0.07624834451862951
Cyclopoids_density_per_L,Bosmina_density_per_L,Cyclopoids,Bosmina,0.07605347256955411
Polyphemidae_density_per_L,Daphnia_density_per_L,Polyphemidae,Daphnia,0.0751427408140658
Asplanchna_density_per_L,Bosmina_density_per_L,Asplanchna,Bosmina,-0.07311828829542957
Polyphemidae_density_per_L,Chydorus_density_per_L,Polyphemidae,Chydorus,-0.06891229764331706
Polyphemidae_density_per_L,Cyclopoids_density_per_L,Polyphemidae,Cyclopoids,-0.06761485282143652
Chydorus_density_per_L,Bosmina_density_per_L,Chydorus,Bosmina,0.0673730762172471
Cyclopoids_density_per_L,Holopedium_density_per_L,Cyclopoids,Holopedium,0.06666670088389079
Polyphemidae_density_per_L,Holopedium_density_per_L,Polyphemidae,Holopedium,-0.06440990949582553
Chaoborus_density_per_L,Nauplii_density_per_L,Chaoborus,Nauplii,-0.06428356812804048
Diaphanosoma_density_per_L,Chydorus_density_per_L,Diaphanosoma,Chydorus,0.06008975790666111
Calanoids_density_per_L,Brachionus.Keratella_density_per_L,Calanoids,Brachionus Keratella,0.05639220520999165
Chydorus_density_per_L,Nauplii_density_per_L,Chydorus,Nauplii,-0.056127253603991165
WaterMites_density_per_L,Chydorus_density_per_L,WaterMites,Chydorus,-0.05401662049861495
Rotifers..other._density_per_L,Daphnia_density_per_L,Rotifers other,Daphnia,-0.053513941891271594
Rotifers..other._density_per_L,ConochilusColonies_density_per_L,Rotifers other,ConochilusColonies,0.04970289698104649
WaterMites_density_per_L,Brachionus.Keratella_density_per_L,WaterMites,Brachionus Keratella,0.047853048337430835
WaterMites_density_per_L,Diaphanosoma_density_per_L,WaterMites,Diaphanosoma,0.045466144256809955
Nauplii_density_per_L,Holopedium_density_per_L,Nauplii,Holopedium,0.04174267593337843
WaterMites_density_per_L,Holopedium_density_per_L,WaterMites,Holopedium,-0.03922289644328704
Chaoborus_density_per_L,Holopedium_density_per_L,Chaoborus,Holopedium,0.038365097321833866
WaterMites_density_per_L,Daphnia_density_per_L,WaterMites,Daphnia,0.03814348052708046
WaterMites_density_per_L,Calanoids_density_per_L,WaterMites,Calanoids,0.03759657257552639
Chydorus_density_per_L,Holopedium_density_per_L,Chydorus,Holopedium,0.036042661596534034
Diaphanosoma_density_per_L,Nauplii_density_per_L,Diaphanosoma,Nauplii,0.03517007045075
Chaoborus_density_per_L,Rotifers..other._density_per_L,Chaoborus,Rotifers other,-0.03287907331396534
Nauplii_density_per_L,Daphnia_density_per_L,Nauplii,Daphnia,0.017113926244374602
WaterMites_density_per_L,Rotifers..other._density_per_L,WaterMites,Rotifers other,0.015764258970665822
Nauplii_density_per_L,ConochilusColonies_density_per_L,Nauplii,ConochilusColonies,0.013405208196328722
Chaoborus_density_per_L,Cyclopoids_density_per_L,Chaoborus,Cyclopoids,0.010278402492017311
Diaphanosoma_density_per_L,Bosmina_density_per_L,Diaphanosoma,Bosmina,0.008961785427605215
Calanoids_density_per_L,Cyclopoids_density_per_L,Calanoids,Cyclopoids,-0.00799635610113605
Asplanchna_density_per_L,Holopedium_density_per_L,Asplanchna,Holopedium,0.007116260560591262
WaterMites_density_per_L,Bosmina_density_per_L,WaterMites,Bosmina,-0.006365959957535159
Asplanchna_density_per_L,Nauplii_density_per_L,Asplanchna,Nauplii,-0.0062015153824749045
Calanoids_density_per_L,ConochilusColonies_density_per_L,Calanoids,ConochilusColonies,-0.0056628314293424705
Polyphemidae_density_per_L,ConochilusColonies_density_per_L,Polyphemidae,ConochilusColonies,-0.005038372506934716
Calanoids_density_per_L,Rotifers..other._density_per_L,Calanoids,Rotifers other,2.1524973887615805e-4
