SampleDate,LakeCode,LakeName,Location,Depth_Tow_m,Counter,DateCounted,DilutionVolume,No2mlSubsamplesCounted,Calanoids,Cyclopoids,Nauplii,Daphnia,Bosmina,Chydorus,Diaphanosoma,Holopedium,Chaoborus ,WaterMites,Brachionus/Keratella,ConochilusColonies,Asplanchna, Ciliate,Amoeboid,Rotifers (other) ,Polyphemidae
20-Jun-23,BRB,brownbay,Deep,15,Ipsita Srinivas,3/30/24,100,4,27,86,60,15,5,0,45,67,1,0,0,4,0,0,0,0,0
9-Jun-23,CED,cedar,Shallow,2,Ipsita Srinivas,7/24/24,100,5,45,9,34,3,5,0,2,0,1,0,55,0,0,0,0,24,1
9-Jun-23,CED,cedar,Deep,9,Ipsita Srinivas,7/24/24,100,5,34,14,171,17,0,0,2,3,0,0,10,0,0,0,0,500,0
10-Jun-23,COM,comida,Shallow,2.5,Ipsita Srinivas,8/1/24,100,5,19,3,14,27,3,0,0,1,0,0,11,0,0,0,0,68,4
10-Jun-23,COM,comida,Deep,10.5,Ipsita Srinivas,8/3/24,100,4,29,100,105,30,9,0,4,56,0,0,5,0,0,0,0,20,0
19-Jun-23,ECH,echo,Shallow,1,Ipsita Srinivas,8/22/24,100,3,181,4,106,1,31,0,3,0,0,0,300,0,0,0,0,300,0
19-Jun-23,ECH,echo,Deep,6.25,Ipsita Srinivas,8/22/24,100,5,62,8,122,8,400,0,28,4,0,0,500,0,0,0,0,500,0
8-Jun-23,FAR,farewell,Shallow,na,Ipsita Srinivas,7/30/24,100,5,1,10,20,5,0,2,1,9,0,0,500,4,2,0,0,500,98
8-Jun-23,FAR,farewell,Deep,14,Ipsita Srinivas,7/30/24,100,4,7,126,153,46,42,0,41,10,0,0,400,0,5,0,0,400,97
18-Jun-23,FRY,fry,Shallow,1.5,Ipsita Srinivas,7/29/24,100,5,14,75,33,16,231,0,9,0,0,0,0,0,0,2,0,0,3
18-Jun-23,FRY,fry,Deep,9,Ipsita Srinivas,7/29/24,100,5,11,107,83,77,12,0,3,19,0,0,0,3,1,0,0,0,0
25-Jun-23,GRA,gramma,Shallow,1,Ipsita Srinivas,3/28/24,100,5,62,1,21,4,1,0,15,1,0,0,0,0,0,0,0,0,0
25-Jun-23,GRA,gramma,Deep,5.5,Ipsita Srinivas,3/28/24,100,5,27,0,32,46,0,0,20,25,0,0,0,0,0,0,0,0,0
18-Jun-23,GRY,gray,Shallow,1.5,Ipsita Srinivas,7/14/24,100,5,3,7,47,0,3,0,3,2,1,0,0,0,0,0,0,0,0
18-Jun-23,GRY,gray,Deep,10.5,Ipsita Srinivas,7/14/24,100,5,13,14,33,15,21,0,13,55,0,0,0,0,0,0,0,0,0
24-Jun-23,JOE,joe,Shallow,1,Ipsita Srinivas,8/19/24,100,5,5,14,41,1,3,1,33,0,1,0,19,0,1,0,0,17,0
24-Jun-23,JOE,joe,Deep,21,Ipsita Srinivas,8/19/24,100,5,8,30,109,29,9,0,14,0,17,0,18,2,500,0,0,500,0
30-Jun-23,KID,kidney,Shallow,2,Ipsita Srinivas,8/1/24,100,5,27,7,68,0,79,0,1,4,0,0,500,0,0,0,0,0,0
30-Jun-23,KID,kidney,Deep,6,Ipsita Srinivas,8/1/24,100,5,15,25,41,0,36,0,0,12,0,0,500,0,0,0,0,0,0
18-Jun-23,LAW,lawson,Shallow,2,Ipsita Srinivas,7/23/24,100,5,85,17,13,162,1,0,27,9,3?,0,1,0,0,0,0,55,0
18-Jun-23,LAW,lawson,Deep,7,Ipsita Srinivas,7/23/24,100,5,52,50,162,91,21,0,115,7,2,1,0,2,0,0,0,0,0
20-Jun-23,LML,littlemud,Shallow,1,Ipsita Srinivas,7/15/24,100,5,35,1,10,6,7,0,0,0,0,0,0,0,0,0,0,10,3
20-Jun-23,LML,littlemud,Deep,4.5,Ipsita Srinivas,7/15/24,100,5,46,2,4,71,8,0,9,2,1,0,0,0,0,0,0,0,0
19-Jun-23,LCL,lowercampbell,Shallow,1.75,Ipsita Srinivas,8/28/24,100,5,4,7,4,8,9,0,0,0,0,0,1,0,0,0,0,500,0
19-Jun-23,LCL,lowercampbell,Deep,15.5,Ipsita Srinivas,8/28/24,100,5,32,29,97,101,88,0,2,10,0,0,8,0,0,0,0,500,1
15-Jun-23,LST,lowerstella,Shallow,1.25,Ipsita Srinivas,3/28/24,100,5,7,6,1,0,1,0,18,1,0,0,0,27,0,0,0,0,0
15-Jun-23,LST,lowerstella,Deep,4.5,Ipsita Srinivas,3/28/24,100,5,35,25,3,82,0,0,69,8,0,0,0,19,0,0,0,0,0
15-Jun-23,MCR,mccreight,Shallow,2.5,Ipsita Srinivas,8/23/24,100,5,34,39,18,2,87,0,3,0,0,0,21,41,34,0,0,500,0
15-Jun-23,MCR,mccreight,Deep,23.5,Ipsita Srinivas,8/23/24,100,5,79,184,133,23,53,0,10,4,0,0,32,27,33,0,0,500,0
8-Jun-23,MCN,mcn,Shallow,na,Ipsita Srinivas,7/17/24,100,5,63,27,3,0,7,0,0,4,0,0,0,6,0,0,0,500,0
8-Jun-23,MCN,mcn,Deep,15.5,Ipsita Srinivas,7/17/24,100,5,49,102,23,33,9,0,28,84,2,0,1,6,3,0,0,500,0
17-Jun-23,MER,merrill,Shallow,1.5,Ipsita Srinivas,7/24/24,100,5,23,38,85,0,39,0,0,2,0,0,40,0,5,0,0,500,0
17-Jun-23,MER,merrill,Deep,12.75,Ipsita Srinivas,7/24/24,100,5,23,160,78,14,47,0,12,14,0,0,4,4,0,0,0,24,0
16-Jun-23,MOH,mohun,Shallow,2.25,Ipsita Srinivas,3/27/24,100,5,25,6,13,0,209,0,1,0,0,0,0,2,0,0,0,0,9
16-Jun-23,MOH,mohun,Deep,17.25,Ipsita Srinivas,3/27/24,100,5,72,5,10,14,54,0,21,37,0,0,0,0,0,0,0,0,some
7-Jun-23,MSK,msk,Deep,2,Ipsita Srinivas,3/25/24,100,10,50,0,28,0,0,0,181,13,1,0,11,0,0,0,0,0,some
29-Jun-23,MUC,muchalata,Shallow,3.5,Ipsita Srinivas,7/12/24,100,5,2,2,10,2,42,0,1,0,0,0,0,1,0,0,0,20,0
29-Jun-23,MUC,muchalata,Deep,26.5,Ipsita Srinivas,7/13/24,200,10,3,18,154,14,196,0,17,18,0,0,0,0,0,0,0,0,0
12-Jun-23,MUD,mud,Shallow,na,Ipsita Srinivas,8/29/24,100,5,1,4,6,0,7,0,0,0,0,0,33,0,1,0,0,7,0
12-Jun-23,MUD,mud,Deep,16,Ipsita Srinivas,8/29/24,100,5,19,56,77,15,21,0,3,11,0,0,70,0,0,0,0,30,0
23-Jun-23,NIM,nimpkish,Shallow,2,Ipsita Srinivas,3/25/24,50,5,1,1,4,0,1,0,0,0,0,0,0,0,0,4,1,0,0
23-Jun-23,NIM,nimpkish,Deep,24.5,Ipsita Srinivas,3/25/24,50,10,18,0,7,4,3,0,2,4,0,0,0,1,0,2,0,0,0
10-Jun-23,ORM,ormand,Shallow,na,Ipsita Srinivas,8/10/24,100,5,55,16,6,31,0,0,1,17,0,0,30,0,0,0,0,500,0
10-Jun-23,ORM,ormand,Deep,13.5,Ipsita Srinivas,8/12/24,100,5,24,58,18,42,0,0,3,43,0,0,30,0,0,0,0,500,0
3-Jun-23,PCH,pachena,Shallow,2,Ipsita Srinivas,8/19/24,200,10,5,3,88,1,0,0,0,0,0,0,2,0,0,0,0,1,0
3-Jun-23,PCH,pachena,Deep,15,Ipsita Srinivas,8/20/24,200,10,18,92,83,28,0,0,0,23,0,0,3,0,2,0,0,41,0
15-Jun-23,ROB,roberts,Shallow,1.75,Ipsita Srinivas,7/17/24,100,5,7,8,20,3,3,0,0,6,0,0,20,0,3,0,0,500,0
15-Jun-23,ROB,roberts,Deep,25.75,Ipsita Srinivas,7/17/24,100,5,28,14,52,66,42,0,12,39,0,0,5,1,40,0,0,20,0
23-Jun-23,ROS,roselle,Shallow,3.75,Ipsita Srinivas,3/27/24,100,5,36,1,48,0,6,0,6,2,0,0,0,0,0,0,0,0,0
23-Jun-23,ROS,roselle,Deep,1.75,Ipsita Srinivas,3/27/24,100,5,117,3,88,0,31,0,71,7,0,0,0,1,500,0,0,0,0
15-Jun-23,STE,stella,Shallow,1.5,Ipsita Srinivas,3/28/24,100,5,1,16,2,0,0,0,0,7,0,0,0,0,0,0,0,0,some
15-Jun-23,STE,stella,Deep,17.25,Ipsita Srinivas,3/28/24,100,5,20,99,22,2,3,0,4,7,0,0,0,0,0,0,0,0,0
5-Jun-23,SUG,sug saw,Deep,16.5,Ipsita Srinivas,3/30/24,100,5,10,51,99,12,19,0,4,1,0,0,0,0,0,0,0,0,0
20-Jun-23,SUG,sug saw,Shallow,2,Ipsita Srinivas,3/30/24,100,5,9,8,25,0,2,0,6,0,0,0,0,2,0,0,0,0,0
23-Jun-23,THE,theimer,Shallow,1,Ipsita Srinivas,3/30/24,100,5,48,9,41,0,7,1,0,2,0,0,0,0,0,0,3,0,0
23-Jun-23,THE,theimer,Deep,9,Ipsita Srinivas,3/30/24,100,4,178,72,59,18,36,0,0,0,0,0,0,0,0,0,0,0,0
27-Jun-23,TSI,tsiko,Shallow,1.5,Ipsita Srinivas,7/12/24,100,5,1,13,0,4,1,0,5,3,0,1,35,2,0,0,0,0,0
27-Jun-23,TSI,tsiko,Deep,26.5,Ipsita Srinivas,7/12/24,200,3,0,120,2,129,0,0,2,0,0,0,0,0,0,0,0,0,0
20-Jun-23,UCL,uppercampbell,Shallow,1.75,Ipsita Srinivas,7/13/24,100,5,1,7,7,6,228,0,4,0,0,0,0,0,0,0,0,0,3
20-Jun-23,UCL,uppercampbell,Deep,26.5,Ipsita Srinivas,7/13/24,100,5,10,34,18,52,30,0,7,23,0,0,0,4,0,0,0,0,0
29-Jun-23,VER,vernon,Shallow,2.5,Ipsita Srinivas,7/14/24,100,5,0,11,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0
29-Jun-23,VER,vernon,Deep,27.75,Ipsita Srinivas,7/14/24,100,5,0,56,13,25,2,0,0,24,0,0,0,0,0,0,0,0,0
26-Jun-23,WOS,woss,Shallow,2.5,Ipsita Srinivas,3/25/24,50,5,1,3,27,2,5,1,2,2,0,0,0,0,0,0,0,0,0
26-Jun-23,WOS,woss,Deep,27.75,Ipsita Srinivas,3/27/24,100,5,5,19,38,3,149,2,8,16,0,0,0,0,0,0,0,0,0
16-Jun-23,BRE,brewster,Deep,23.25,Ipsita Srinivas,6/21/25,100,5,39,105,211,159,26,0,1,0,0,0,2,7,0,0,0,46,0
6-Jun-23,RSS,rosseau,Deep,8,Ipsita Srinivas,6/21/25,200,9,16,4,80,119,3,0,1,39,0,0,138,3,0,0,0,0,0
